ARCTIC OCEAN
POLYGON
-180
71,20842
359,9999
18,79158
2
757
-85,78096, 81,03506
-84,63532, 81,098
-83,28858, 81,14776
-83,34943, 81,10332
-84,67976, 81,04244
-85,2465, 80,98795
-85,63914, 80,92444
-86,25191, 80,78951
-86,4403, 80,72812
-86,60329, 80,66409
-86,61546, 80,63025
-86,53185, 80,60485
-86,25031, 80,56567
-86,0974, 80,56198
-85,72644, 80,58102
-85,30734, 80,52599
-85,14596, 80,52123
-84,41782, 80,5265
-84,21992, 80,53764
-84,07652, 80,55614
-83,88547, 80,60167
-83,64735, 80,67415
-83,40128, 80,71384
-82,78006, 80,73608
-82,49853, 80,76254
-82,22231, 80,77259
-82,33659, 80,72867
-82,7684, 80,63076
-82,88429, 80,57733
-82,61283, 80,55881
-82,36835, 80,56144
-81,55293, 80,62283
-81,30103, 80,62707
-81,00681, 80,65511
-80,13368, 80,76411
-79,76115, 80,84191
-79,60664, 80,8816
-79,54524, 80,90912
-79,47697, 80,96098
-79,40238, 81,03663
-79,30923, 81,089
-79,19814, 81,11761
-79,07272, 81,12766
-78,93143, 81,11919
-78,73405, 81,15091
-78,35198, 81,25887
-77,97257, 81,33085
-76,88512, 81,43033
-77,03064, 81,38589
-77,53601, 81,32131
-78,2869, 81,16786
-78,46417, 81,11443
-78,62928, 81,0435
-78,68165, 81,00118
-78,71604, 80,95144
-78,55093, 80,92129
-78,00378, 80,90488
-77,38943, 80,9054
-77,11849, 80,89641
-76,85021, 80,87843
-76,8629, 80,86465
-77,16929, 80,84297
-77,50689, 80,83501
-78,38638, 80,78422
-79,62939, 80,64769
-79,67439, 80,62547
-80,05113, 80,52863
-80,97984, 80,44504
-82,53609, 80,37572
-82,78481, 80,35401
-82,98695, 80,3228
-82,96103, 80,27779
-82,6811, 80,17516
-82,33238, 80,06612
-81,86034, 79,95714
-81,64447, 79,89047
-81,3587, 79,78779
-81,17933, 79,7333
-81,00999, 79,69307
-80,71419, 79,67509
-80,28768, 79,6788
-80,12469, 79,66924
-80,27073, 79,6354
-80,47607, 79,6063
-80,6676, 79,60101
-81,03802, 79,61423
-81,46295, 79,65392
-81,68837, 79,68568
-81,85559, 79,7227
-82,04874, 79,78304
-82,37682, 79,90845
-82,67741, 79,99258
-83,00441, 80,0545
-83,34361, 80,14709
-83,72354, 80,22911
-84,05639, 80,26192
-84,67552, 80,27887
-85,15971, 80,272
-86,30695, 80,31908
-86,49851, 80,25822
-86,6144, 80,12328
-86,49428, 80,01798
-86,42072, 79,84495
-86,1466, 79,74284
-86,03126, 79,72216
-85,67406, 79,70209
-85,67883, 79,6153
-85,75078, 79,59465
-85,8037, 79,57298
-85,94922, 79,48615
-86,00691, 79,47931
-86,08575, 79,55127
-86,18047, 79,60522
-86,23233, 79,62217
-86,3371, 79,63488
-86,64879, 79,64599
-86,86097, 79,59783
-86,925, 79,59096
-87,24304, 79,57137
-87,29542, 79,58036
-87,22028, 79,6301
-87,14408, 79,6624
-87,04935, 79,80526
-86,9774, 79,89414
-87,07636, 79,96719
-87,20229, 80,04338
-87,32823, 80,04656
-87,65157, 80,07935
-87,86057, 80,08731
-87,92249, 80,0979
-87,86905, 80,13387
-87,62563, 80,1873
-87,61821, 80,20743
-87,63038, 80,30161
-87,64573, 80,34817
-87,67485, 80,37199
-87,96005, 80,41541
-88,12516, 80,42969
-88,42413, 80,42809
-88,5247, 80,41804
-88,64376, 80,38683
-88,66331, 80,34817
-88,64639, 80,28999
-88,61252, 80,25557
-88,38075, 80,22541
-88,25533, 80,16669
-88,1966, 80,12542
-88,19978, 80,11165
-88,32941, 80,13387
-88,53738, 80,13123
-88,85751, 80,16617
-89,01945, 80,19841
-89,19833, 80,26299
-89,21788, 80,28944
-89,1475, 80,36037
-89,15491, 80,37835
-89,19672, 80,39421
-89,20414, 80,40693
-89,13427, 80,44026
-89,1385, 80,45721
-89,16708, 80,47943
-89,23535, 80,51064
-89,32901, 80,5318
-89,52481, 80,5387
-89,67403, 80,53075
-89,79784, 80,50111
-89,86188, 80,49847
-90,21748, 80,54821
-90,5371, 80,57573
-90,64294, 80,59371
-90,63235, 80,64188
-90,63658, 80,65511
-90,68314, 80,68789
-91,0541, 80,77786
-91,27264, 80,85036
-91,75471, 81,04932
-91,88542, 81,13296
-91,99761, 81,18533
-92,21191, 81,24352
-92,41247, 81,27847
-93,03478, 81,3462
-93,11521, 81,35095
-93,3327, 81,36418
-93,6047, 81,35043
-94,05975, 81,34935
-94,17936, 81,33932
-94,22011, 81,33085
-94,2328, 81,31499
-94,23122, 81,28959
-94,21851, 81,2647
-94,19471, 81,24088
-94,11056, 81,22501
-93,89468, 81,21339
-93,40678, 81,20915
-93,28613, 81,17897
-93,23531, 81,15515
-93,23586, 81,12869
-93,28665, 81,10011
-93,34486, 81,08531
-93,44382, 81,08319
